,title,director,cast,country,release_year,rating,budget,revenue,runtime,movie_id,genre,streaming
0,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,2014,G,3200000.0,658573.0,95.0,10070.0,"Action,Horror,Thriller,Comedy,",Disney+
1,Bride of Boogedy,Oz Scott,"Richard Masur, Mimi Kennedy, Tammy Lauren, David Faustino, Joshua Rudoy, Leonard Frey",United States,1987,PG,0.0,0.0,90.0,47631.0,"Horror,Family,Comedy,TV Movie,",Disney+
2,Deep Blue,"Alastair Fothergill, Andy Byatt",Pierce Brosnan,"United Kingdom, Germany",2005,G,5000000.0,0.0,100.0,703745.0,"Action,Horror,Science Fiction,",Disney+
3,Don't Look Under the Bed,Kenneth Johnson,"Erin Chambers, Eric Hodges II, Eric Hodges, Robin Riker, Steve Valentine, Jake Sakson",United States,1999,PG,0.0,0.0,93.0,70772.0,"TV Movie,Family,Horror,Comedy,",Disney+
4,Float,Bobby Rubio,"Eli Fucile, Bobby Rubio, Luna Watson, Mika Kubo",United States,2019,PG,0.0,0.0,76.0,1038043.0,"Horror,",Disney+
5,Hounded,Neal Israel,"Tahj Mowry, Shia LaBeouf, Craig Kirkwood, Steven Bendik, Sara Paxton, Rachelle Carson",United States,2001,G,0.0,0.0,94.0,935999.0,"Horror,Action,Thriller,",Disney+
6,Mater and the Ghostlight,John Lasseter,"Larry the Cable Guy , Owen Wilson, Michael Wallis, Bonnie Hunt, Paul Newman, Cheech Marin",United States,2006,PG,0.0,0.0,7.0,13934.0,"Animation,Comedy,Family,Horror,",Disney+
7,Mom's Got a Date With a Vampire,Stephen Boyum,"Matthew O'Leary, Laura Vandervoort, Myles Jeffrey, Caroline Rhea, Charles Shaughnessy, Robert Carradine","Canada, United States",2000,PG,0.0,0.0,85.0,92208.0,"TV Movie,Comedy,Family,Fantasy,Horror,",Disney+
8,Mr. Boogedy,Oz Scott,"Richard Masur, Mimi Kennedy, Benjamin Gregory, David Faustino, Kristy Swanson, Howard Witt",United States,1986,PG,0.0,0.0,44.0,365351.0,"TV Movie,Horror,Adventure,Drama,",Disney+
9,Phantom of the Megaplex,Blair Treu,"Taylor Handley, Corinne Bohrer, Caitlin Wachs, Jacob Smith, Rich Hutchman, John Novak","United States, Canada",2000,G,0.0,0.0,89.0,26450.0,"Action,Comedy,Family,Mystery,Horror,",Disney+
10,The Adventures of Ichabod and Mr. Toad,"Jack Kinney, Clyde Geronimi, James Algar","Bing Crosby, Basil Rathbone, Eric Blore, Pat O'Malley, John Ployardt, Colin Campbell",United States,1949,G,0.0,0.0,68.0,13465.0,"Horror,Fantasy,Animation,Family,",Disney+
11,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2013,PG-13,3500000.0,25174316.0,97.0,145135.0,"Science Fiction,Thriller,Horror,",Netflix
12,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,1975,PG,7000000.0,470653000.0,124.0,578.0,"Horror,Thriller,Adventure,",Netflix
13,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,1978,PG,20000000.0,187884007.0,116.0,579.0,"Horror,Thriller,",Netflix
14,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,1983,PG,20500000.0,87987055.0,99.0,17692.0,"Thriller,Horror,",Netflix
15,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,1987,PG-13,23000000.0,51881013.0,89.0,580.0,"Adventure,Thriller,Horror,",Netflix
16,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,2011,PG-13,0.0,0.0,108.0,75624.0,"Thriller,Animation,Action,Comedy,Horror,Mystery,",Netflix
17,Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha, Rati Agnihotri, Vrajesh Hirjee, Divya Palat, Hiten Tejwani, Rajendranath Zutshi",India,2004,PG-13,0.0,0.0,124.0,211105.0,"Thriller,Horror,Mystery,",Netflix
18,Kucch To Hai,"Anil V. Kumar, Anurag Basu","Tusshar Kapoor, Esha Deol, Natassha, Vrajesh Hirjee, Kusumit Sana, Rishi Kapoor, Moon Moon Sen, Johny Lever, Ashay Chitre, Jeetendra",India,2003,PG-13,0.0,0.0,142.0,383404.0,"Mystery,Horror,Thriller,Romance,",Netflix
19,Ragini MMS,Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice, Shernaza, Mangala Ahire, Vinod Rawat",India,2011,R,0.0,0.0,93.0,66841.0,"Drama,Horror,Mystery,",Netflix
20,Ragini MMS 2,Bhushan Patel,"Sunny Leone, Saahil Prem, Parvin Dabas, Sandhya Mridul, Divya Dutta, Soniya Mehra, Kainaz Motivala, Karan Mehra",India,2014,R,0.0,0.0,120.0,260266.0,"Horror,",Netflix
21,The Old Ways,Christopher Alender,"Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez",United States,2020,R,0.0,0.0,90.0,752505.0,"Horror,Fantasy,",Netflix
22,Slay,Adze Ugah,"Enhle Mbali, Ramsey Nouah, Dawn Thandeka Kang, Idris Sultan, Tumi Morake, Trevor Gumbi, Lillian Dube, Kaly Bossy Asante, Shaleen Surtie, Fabian Lojege",South Africa,2021,R,0.0,0.0,78.0,12591.0,"Comedy,Fantasy,Horror,",Netflix
23,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind, Cicely Tyson, Andrea Frankle, Brad James, Lance E. Nichols",United States,2013,R,9000000.0,0.0,101.0,150202.0,"Horror,Drama,Thriller,",Netflix
24,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli","Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol, Alida Baldari Calabria, Cristina Donadio, Francesca Cavallin",Italy,2021,R,0.0,0.0,95.0,768334.0,"Horror,Mystery,",Netflix
25,The 8th Night,Kim Tae-hyung,"Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal",South Korea,2021,PG-13,0.0,0.0,115.0,604360.0,"Mystery,Thriller,Horror,",Netflix
26,Winchester,"Michael Spierig, Peter Spierig","Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson, Finn Scicluna-O'Prey, Laura Brent, Tyler Coppin, Eamon Farren, Bruce Spence","Australia, United States",2018,PG-13,3500000.0,44019588.0,100.0,416234.0,"Horror,Thriller,",Netflix
27,The Game,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl",United States,1997,R,0.0,0.0,87.0,844396.0,"Science Fiction,Horror,",Netflix
28,The Strangers,Bryan Bertino,"Liv Tyler, Scott Speedman, Gemma Ward, Kip Weeks, Laura Margolis, Glenn Howerton, Alex Fisher, Peter Clayton-Luce",United States,2008,R,9000000.0,82391145.0,86.0,10665.0,"Horror,Mystery,Thriller,",Netflix
29,Underworld,Len Wiseman,"Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles, Robbie Gee, Wentworth Miller, Kevin Grevioux","United States, United Kingdom, Germany, Hungary",2003,R,70000000.0,160112671.0,88.0,52520.0,"Fantasy,Action,Horror,",Netflix
30,The Seventh Day,Justin P. Lange,"Guy Pearce, Vadhir Derbez, Stephen Lang, Brady Jenness, Chris Galust, Robin Bartlett, Heath Freeman, Keith David",United States,2021,R,0.0,0.0,87.0,645856.0,"Horror,",Netflix
31,Red Snow,Marie Clements,"Asivak Koostachin, Shafin Karim, Mozhdah Jamalzadah, Kane Mahon, Ishaan Vasdev, Samuel Marty, Miika Bryce Whiskeyjack, Tantoo Cardinal",Canada,2019,R,0.0,0.0,80.0,774454.0,"Horror,Comedy,",Netflix
32,The Devil Below,Bradley Parker,"Alicia Sanz, Will Patton, Jonathan Sadowski, Adan Canto, Zach Avery, Chinaza Uche, Jesse LaTourette",United States,2021,R,0.0,0.0,89.0,760875.0,"Horror,Thriller,",Netflix
33,A Haunted House 2,Michael Tiddes,"Marlon Wayans, Jaime Pressly, Essence Atkins, Affion Crockett, Hayes MacArthur, Rick Overton, Ashley Rickards, Cedric the Entertainer, Dave Sheridan, Missi Pyle, Gabriel Iglesias, Steele Stebbins",United States,2014,R,4000000.0,25343661.0,87.0,184345.0,"Comedy,Horror,",Netflix
34,Hostel: Part III,Scott Spiegel,"Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel, Chris Coy, Skyler Stone, Thomas Kretschmann, Zulay Henao, Nickola Shreli, Derrick Carr",United States,2011,R,6000000.0,0.0,88.0,71670.0,"Horror,",Netflix
35,Population 436,Michelle MacLaren,"Jeremy Sisto, Fred Durst, Charlotte Sullivan, David Ames, Cory Cassidy, James Blicq, Martin Trudel, Reva Timbers, Rick Skene, Peter Outerbridge, Dana Horrox","Canada, United States",2006,R,0.0,0.0,88.0,1596.0,"Horror,Thriller,",Netflix
36,Welcome Home,George Ratliff,"Aaron Paul, Emily Ratajkowski, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba",United States,2018,R,0.0,0.0,98.0,525460.0,"Thriller,Horror,",Netflix
37,Ghost Lab,Paween Purijitpanya,"Thanapob Leeratanakachorn, Paris Intarakomalyasut, Nuttanicha Dungwattanawanich, Suquan Bulakul, Rachanee Siralert, Chaleeda Gilbert, Nuttawut Jenmana, Alanta Potjes, Anchuleeon Buagaew, Jinjuta Rattanaburi",Thailand,2021,R,0.0,0.0,117.0,710871.0,"Drama,Horror,Science Fiction,Thriller,",Netflix
38,Army of the Dead,Zack Snyder,"Dave Bautista, Ella Purnell, Omari Hardwick, Garret Dillahunt, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Samantha Win, Richard Cetrone, Michael Cassidy",United States,2021,R,0.0,780000.0,148.0,503736.0,"Action,Crime,Horror,Thriller,",Netflix
39,The Strange House,Daniel Prochaska,"León Orlandianyi, Benno Roßkopf, Julia Koschitz, Marii Weichsler, Lars Bitterlich, Michael Pink, Inge Maux, Elfriede Schüsseleder, Michael Somma, Finn Reiter, Markus Stubeier, Luca Streussnig",Austria,2020,R,0.0,0.0,87.0,376549.0,"Drama,Horror,Mystery,Thriller,",Netflix
40,Unrest,Jennifer Brea,"Jennifer Brea, Omar Wasow, Jessica Taylor-Bearman","United Kingdom, United States",2017,R,2500000.0,0.0,88.0,10085.0,"Horror,",Netflix
41,The Darkest Hour,Chris Gorak,"Emile Hirsch, Olivia Thirlby, Max Minghella, Rachael Taylor, Joel Kinnaman, Veronika Vernadskaya, Dato Bakhtadze, Yuriy Kutsenko","United States, Russia",2011,PG-13,30000000.0,64626786.0,89.0,71469.0,"Horror,Action,Thriller,Science Fiction,",Netflix
42,The Strangers: Prey at Night,Johannes Roberts,"Bailee Madison, Martin Henderson, Emma Bellomy, Lea Enslin, Damian Maffei, Christina Hendricks, Lewis Pullman","United States, United Kingdom",2018,R,12500000.0,31039126.0,85.0,371608.0,"Horror,Thriller,",Netflix
43,HOMUNCULUS,Takashi Shimizu,"Go Ayano, Ryo Narita, Yukino Kishii, Anna Ishii, Seiyo Uchino",Japan,2021,R,0.0,0.0,59.0,2962.0,"Horror,Science Fiction,",Netflix
44,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray","Canada, United States, Mexico",2015,R,55000000.0,74679822.0,119.0,201085.0,"Horror,Romance,",Netflix
45,Synchronic,"Justin Benson, Aaron Moorhead","Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.",United States,2020,R,0.0,1019041.0,101.0,549294.0,"Science Fiction,Drama,Thriller,Horror,",Netflix
46,What Lies Below,Braden R. Duemmler,"Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata",United States,2020,R,0.0,0.0,87.0,716703.0,"Horror,Mystery,Thriller,Science Fiction,",Netflix
47,Irul,Naseef Yusuf Izuddin,"Fahadh Faasil, Soubin Shahir, Darshana Rajendran",India,2021,R,50000.0,0.0,99.0,806322.0,"Horror,",Netflix
48,Insidious,James Wan,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara","United States, Canada",2010,PG-13,1500000.0,97009150.0,103.0,49018.0,"Horror,Thriller,",Netflix
49,Into the Grizzly Maze,David Hackl,"James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran","United States, Canada",2015,R,10000000.0,0.0,94.0,244316.0,"Action,Horror,Thriller,",Netflix
50,The Stepfather,Nelson McCormick,"Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard, Sherry Stringfield, Paige Turco, Jon Tenney, Nancy Linehan Charles, Marcuis Harris, Braeden Lemasters, Deirdre Lovejoy",United States,2009,PG-13,20000000.0,31198531.0,101.0,19904.0,"Horror,Thriller,",Netflix
51,The Block Island Sound,"Kevin McManus, Matthew McManus","Chris Sheffield, Michaela McManus, Neville Archambault, Ryan O'Flanagan, Matilda Lawler, Jim Cummings, Jeremy Holm, Heidi Niedermeyer, Willie C. Carpenter, Matthew Lawler",United States,2020,R,0.0,0.0,103.0,731740.0,"Horror,Science Fiction,",Netflix
52,The Conjuring,James Wan,"Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston, Shanley Caswell, Hayley McFarland, Joey King, Mackenzie Foy, Kyla Deaver, Shannon Kook",United States,2013,R,13000000.0,319494638.0,112.0,138843.0,"Horror,Thriller,",Netflix
53,The Conjuring 2,James Wan,"Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor, Lauren Esposito, Benjamin Haigh, Patrick McAuley, Simon McBurney, Maria Doyle Kennedy, Simon Delaney, Franka Potente","Canada, United States, United Kingdom",2016,R,40000000.0,320392818.0,134.0,259693.0,"Horror,Thriller,",Netflix
54,No Escape Room,Alex Merkin,"Jeni Ross, Mark Ghanimé, Hamza Haq, Kathyrn Davis, Dennis Andres, Brianna Barnes",United States,2018,PG-13,0.0,0.0,85.0,552660.0,"Horror,Thriller,Mystery,",Netflix
55,Red Dot,Alain Darborg,"Nanna Blondell, Anastasios Soulis, Thomas Hanzon, Johannes Kuhnke, Tomas Bergström, Kalled Mustonen, Anna Azcárate",Sweden,2021,R,0.0,0.0,86.0,649087.0,"Thriller,Horror,",Netflix
56,All My Friends Are Dead,Jan Belcl,"Julia Wieniawa-Narkiewicz, Mateusz Więcławek, Adam Graf Turczyk, Monika Krzywkowska, Nikodem Rozbicki, Kamil Piotrowski, Adam Bobik, Paulina Gałązka, Magdalena Perlińska, Katarzyna Chojnacka, Konrad Żygadło, Szymon Roszak, Michał Sikorski, Aleksandra Pisula, Wojciech Łozowski, Michał Meyer, Adam Woronowicz",Poland,2020,R,0.0,0.0,0.0,781032.0,"Horror,",Netflix
57,Hell Fest,Gregory Plotkin,"Amy Forsyth, Reign Edwards, Bex Taylor-Klaus, Tony Todd, Christian James, Matt Mercurio, Michael Tourek, Courtney Dietz, Stephen Conroy",United States,2018,R,5500000.0,0.0,89.0,429476.0,"Horror,",Netflix
58,Sightless,Cooper Karl,"Madelaine Petsch, Alexander Koch, December Ensminger, Lee Jones",United States,2020,PG-13,0.0,0.0,89.0,733156.0,"Thriller,Horror,",Netflix
59,Death of Me,Darren Lynn Bousman,"Maggie Q, Luke Hemsworth, Alex Essoe, Ingkarat Jaraswongkosol, Kelly B. Jones, Caledonia Burr","United States, Thailand",2020,R,0.0,41848.0,95.0,595149.0,"Horror,Mystery,",Netflix
60,The Vanished,Peter Facinelli,"Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente",United States,2020,R,0.0,0.0,115.0,718400.0,"Thriller,Horror,Crime,Action,",Netflix
61,Case 39,Christian Alvart,"Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper, Callum Keith Rennie, Adrian Lester, Kerry O'Malley, Cynthia Stevenson, Alexander Conti, Philip Cabrita","United States, Canada",2009,R,27000000.0,29000000.0,109.0,28355.0,"Horror,Mystery,Thriller,",Netflix
62,The Rope Curse 2,Liao Shih-han,"Lee Kang-sheng, Wilson Hsu, Vera Chen, Yen Cheng-kuo, Chen Bor-jeng, Liu Kuo-shao",Taiwan,2020,R,0.0,0.0,104.0,737519.0,"Horror,",Netflix
63,DNA,Maïwenn,"Maïwenn, Fanny Ardant, Louis Garrel, Dylan Robert, Marine Vacth, Caroline Chaniolleau, Alain Françon, Florent Lacger, Henri-Noël Tabary, Omar Marwan","France, Algeria",2020,R,0.0,0.0,97.0,76403.0,"Horror,Thriller,Science Fiction,Action,",Netflix
64,Incarnate,Brad Peyton,"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Mark Steger, Emjay Anthony, Karolina Wydra",United States,2016,PG-13,5000000.0,6341855.0,91.0,241258.0,"Horror,Thriller,",Netflix
65,Don’t Listen,Ángel Gómez Hernández,"Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra, Lucas Blas",Spain,2020,R,0.0,443458.0,98.0,726208.0,"Drama,Horror,Thriller,",Netflix
66,Ghosts of War,Eric Bress,"Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson, Billy Zane, Shaun Toub",United Kingdom,2020,R,0.0,178592.0,94.0,608195.0,"Horror,Thriller,War,Fantasy,",Netflix
67,Black Friday,Anurag Kashyap,"Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun",India,2004,R,0.0,0.0,84.0,765869.0,"Horror,Comedy,Science Fiction,",Netflix
68,Ludo,Anurag Basu,"Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao, Sanya Malhotra, Fatima Sana Shaikh, Pankaj Tripathi, Rohit Saraf, Shalini Vatsa, Pearle Maaney",India,2020,R,0.0,0.0,90.0,349138.0,"Horror,",Netflix
69,Prom Night,Nelson McCormick,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, James Ransone, Brianne Davis, Kellan Lutz, Mary Mara, Ming-Na Wen, Johnathon Schaech, Idris Elba","United States, Canada",2008,PG-13,1500000.0,14796236.0,92.0,36599.0,"Horror,Mystery,Thriller,",Netflix
70,Little Monsters,Richard Greenberg,"Fred Savage, Howie Mandel, Daniel Stern, Margaret Whitton, Rick Ducommun, Frank Whaley, Ben Savage, William Murray Weiss, Devin Ratray, Amber Barretto",United States,1989,PG,0.0,0.0,94.0,503125.0,"Horror,Comedy,",Netflix
71,Piercing,Nicolas Pesce,"Christopher Abbott, Mia Wasikowska, Laia Costa, Marin Ireland, Maria Dizzia, Wendell Pierce, Olivia Bond, Dakota Lustick",United States,2018,R,0.0,0.0,82.0,440444.0,"Horror,Thriller,Mystery,",Netflix
72,His House,Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",United Kingdom,2020,PG-13,0.0,0.0,93.0,575774.0,"Drama,Horror,Thriller,",Netflix
73,Kaali Khuhi,Terrie Samundra,"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod",India,2020,PG-13,0.0,0.0,90.0,744876.0,"Horror,Drama,Thriller,",Netflix
74,The Day of the Lord,Santiago Alvarado Ilarri,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia","Mexico, Spain",2020,R,0.0,0.0,93.0,676844.0,"Drama,Horror,Thriller,",Netflix
75,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",Poland,2020,R,0.0,0.0,97.0,871964.0,"Horror,Thriller,Comedy,",Netflix
